,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
3720,white,7.7,0.39,0.28,4.9,0.035,36.0,109.0,0.9918,3.19,0.58,12.2,7
3721,white,6.9,0.26,0.33,12.6,0.051,59.0,173.0,0.998,3.39,0.38,9.9,5
3722,white,6.8,0.25,0.27,10.7,0.076,47.0,154.0,0.9967,3.05,0.38,9.0,5
3723,white,7.7,0.39,0.28,4.9,0.035,36.0,109.0,0.9918,3.19,0.58,12.2,7
3724,white,6.0,0.28,0.22,12.15,0.048,42.0,163.0,0.9957,3.2,0.46,10.1,5
3725,white,6.5,0.43,0.28,12.0,0.055999999999999994,23.0,174.0,0.9986,3.31,0.55,9.3,5
3726,white,9.1,0.33,0.38,1.7,0.062,50.5,344.0,0.9958,3.1,0.7,9.5,5
3727,white,5.9,0.5,0.05,2.6,0.054000000000000006,36.0,146.0,0.9948,3.43,0.5,9.2,6
3728,white,6.8,0.28,0.39,1.4,0.036000000000000004,15.0,115.0,0.9918,3.27,0.72,11.7,5
3729,white,7.0,0.35,0.24,1.9,0.04,21.0,144.0,0.9923,3.35,0.38,11.0,5
3730,white,7.1,0.22,0.32,16.9,0.055999999999999994,49.0,158.0,0.9998,3.37,0.38,9.6,6
3731,white,7.1,0.22,0.32,16.9,0.055999999999999994,49.0,158.0,0.9998,3.37,0.38,9.6,6
3732,white,8.3,0.24,0.27,2.1,0.03,22.0,162.0,0.9914,2.99,0.68,11.9,6
3733,white,6.8,0.26,0.32,7.0,0.040999999999999995,38.0,118.0,0.9939,3.25,0.52,10.8,6
3734,white,7.2,0.16,0.26,7.1,0.054000000000000006,41.0,224.0,0.9966,3.38,0.55,10.1,5
3735,white,7.9,0.18,0.36,5.9,0.057999999999999996,31.0,132.0,0.995,3.25,0.52,10.9,6
3736,white,7.2,0.16,0.26,7.1,0.054000000000000006,41.0,224.0,0.9966,3.38,0.55,10.1,5
3737,white,5.5,0.24,0.32,8.7,0.06,19.0,102.0,0.9940000000000001,3.27,0.31,10.4,5
3738,white,7.1,0.33,0.64,13.2,0.055999999999999994,12.0,105.0,0.9972,3.05,0.39,9.2,5
3739,white,7.7,0.28,0.35,15.3,0.055999999999999994,31.0,117.0,0.9998,3.27,0.5,9.6,5
3740,white,7.7,0.28,0.35,15.3,0.055999999999999994,31.0,117.0,0.9998,3.27,0.5,9.6,5
3741,white,7.5,0.26,0.52,13.2,0.047,64.0,179.0,0.9982,3.1,0.46,9.0,5
3742,white,6.5,0.14,0.32,2.7,0.037000000000000005,18.0,89.0,0.9924,3.4,0.74,11.5,7
3743,white,8.2,0.21,0.32,10.65,0.053,53.0,145.0,0.9972,3.17,0.48,10.2,6
3744,white,7.2,0.2,0.31,10.0,0.054000000000000006,49.0,165.0,0.997,3.4,0.42,9.9,6
3745,white,7.2,0.115,0.3,6.8,0.055999999999999994,26.0,105.0,0.9954,3.44,0.4,9.6,6
3746,white,6.4,0.29,0.2,15.6,0.04,20.0,142.0,0.9962,3.1,0.54,10.6,5
3747,white,7.1,0.33,0.64,13.2,0.055999999999999994,12.0,105.0,0.9972,3.05,0.39,9.2,5
3748,white,6.8,0.24,0.34,5.1,0.038,31.0,99.0,0.9921,3.24,0.46,11.8,6
3749,white,7.0,0.24,0.34,3.0,0.035,36.0,102.0,0.9905,3.18,0.43,12.2,6
3750,white,7.7,0.28,0.35,15.3,0.055999999999999994,31.0,117.0,0.9998,3.27,0.5,9.6,5
3751,white,7.0,0.22,0.33,2.1,0.052000000000000005,15.0,76.0,0.993,3.2,0.41,10.6,6
3752,white,7.5,0.18,0.39,1.9,0.054000000000000006,23.0,91.0,0.9941,3.27,0.45,10.3,6
3753,white,9.8,0.93,0.45,8.6,0.052000000000000005,34.0,187.0,0.9994,3.12,0.59,10.2,4
3754,white,7.8,0.29,0.33,8.75,0.035,33.0,181.0,0.9962,3.11,0.46,10.7,5
3755,white,7.9,0.28,0.32,3.6,0.038,9.0,76.0,0.992,3.05,0.31,11.7,4
3756,white,8.5,0.25,0.27,4.7,0.031,31.0,92.0,0.9922,3.01,0.33,12.0,6
3757,white,7.4,0.18,0.27,1.3,0.048,26.0,105.0,0.9940000000000001,3.52,0.66,10.6,6
3758,white,6.3,0.24,0.37,1.8,0.031,6.0,61.0,0.9897,3.3,0.34,12.2,4
3759,white,6.0,0.33,0.38,9.7,0.04,29.0,124.0,0.9954,3.47,0.48,11.0,6
3760,white,6.8,0.37,0.28,4.0,0.03,29.0,79.0,0.99,3.23,0.46,12.4,7
3761,white,9.9,0.49,0.23,2.4,0.087,19.0,115.0,0.9948,2.77,0.44,9.4,6
3762,white,8.5,0.25,0.27,4.7,0.031,31.0,92.0,0.9922,3.01,0.33,12.0,6
3763,white,8.4,0.22,0.28,18.8,0.027999999999999997,55.0,130.0,0.998,2.96,0.35,11.6,5
3764,white,7.0,0.35,0.31,1.8,0.069,15.0,162.0,0.9944,3.18,0.47,9.4,5
3765,white,7.0,0.35,0.31,1.8,0.069,15.0,162.0,0.9944,3.18,0.47,9.4,5
3766,white,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
3767,white,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
3768,white,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
3769,white,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
3770,white,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
3771,white,6.9,0.32,0.13,7.8,0.042,11.0,117.0,0.996,3.23,0.37,9.2,5
3772,white,7.6,0.32,0.58,16.75,0.05,43.0,163.0,0.9999,3.15,0.54,9.2,5
3773,white,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
3774,white,7.4,0.19,0.3,12.8,0.053,48.5,212.0,0.9986,3.14,0.49,9.1,7
3775,white,6.9,0.32,0.13,7.8,0.042,11.0,117.0,0.996,3.23,0.37,9.2,5
3776,white,6.0,0.34,0.24,5.4,0.06,23.0,126.0,0.9951,3.25,0.44,9.0,7
3777,white,7.6,0.32,0.58,16.75,0.05,43.0,163.0,0.9999,3.15,0.54,9.2,5
3778,white,7.7,0.24,0.31,1.3,0.047,33.0,106.0,0.993,3.22,0.55,10.8,6
3779,white,8.0,0.36,0.43,10.1,0.053,29.0,146.0,0.9982,3.4,0.46,9.5,6
3780,white,7.4,0.29,0.25,3.8,0.044000000000000004,30.0,114.0,0.992,3.11,0.4,11.0,6
3781,white,6.6,0.32,0.27,10.9,0.040999999999999995,37.0,146.0,0.9963,3.24,0.47,10.0,5
3782,white,6.3,0.3,0.24,6.6,0.04,38.0,141.0,0.995,3.22,0.47,9.5,5
3783,white,6.4,0.33,0.24,9.8,0.040999999999999995,29.0,109.0,0.9956,3.29,0.47,10.1,6
3784,white,7.5,0.18,0.31,11.7,0.051,24.0,94.0,0.997,3.19,0.44,9.5,7
3785,white,6.5,0.39,0.81,1.2,0.217,14.0,74.0,0.9936,3.08,0.53,9.5,5
3786,white,6.8,0.25,0.18,1.4,0.055999999999999994,13.0,137.0,0.9935,3.11,0.42,9.5,5
3787,white,6.4,0.18,0.32,9.6,0.052000000000000005,24.0,90.0,0.9963,3.35,0.49,9.4,6
3788,white,7.1,0.18,0.32,12.2,0.048,36.0,125.0,0.9967,2.92,0.54,9.4,6
3789,white,7.6,0.27,0.42,2.6,0.044000000000000004,29.0,110.0,0.9912,3.31,0.51,12.7,6
3790,white,9.2,0.23,0.35,10.7,0.037000000000000005,34.0,145.0,0.9981,3.09,0.32,9.7,5
3791,white,7.9,0.28,0.41,4.9,0.057999999999999996,31.0,153.0,0.9966,3.27,0.51,9.7,6
3792,white,7.1,0.18,0.32,12.2,0.048,36.0,125.0,0.9967,2.92,0.54,9.4,6
3793,white,6.4,0.18,0.32,9.6,0.052000000000000005,24.0,90.0,0.9963,3.35,0.49,9.4,6
3794,white,6.8,0.25,0.18,1.4,0.055999999999999994,13.0,137.0,0.9935,3.11,0.42,9.5,5
3795,white,7.0,0.22,0.26,1.1,0.037000000000000005,20.0,71.0,0.9902,3.1,0.38,11.7,6
3796,white,7.3,0.18,0.29,1.0,0.036000000000000004,26.0,101.0,0.99,3.09,0.37,11.7,6
3797,white,7.1,0.26,0.19,8.2,0.051,53.0,187.0,0.996,3.16,0.52,9.7,5
3798,white,6.6,0.25,0.42,11.3,0.049,77.0,231.0,0.9966,3.24,0.52,9.5,6
3799,white,6.4,0.24,0.23,7.3,0.069,31.0,157.0,0.9962,3.25,0.53,9.1,5
3800,white,6.0,0.28,0.27,2.3,0.051,23.0,147.0,0.9940000000000001,3.23,0.67,10.3,6
3801,white,7.1,0.26,0.19,8.2,0.051,53.0,187.0,0.996,3.16,0.52,9.7,5
3802,white,7.8,0.24,0.38,2.1,0.057999999999999996,14.0,167.0,0.9940000000000001,3.21,0.55,9.9,5
3803,white,7.6,0.27,0.33,2.0,0.059000000000000004,19.0,175.0,0.9944,3.22,0.56,9.9,5
3804,white,7.7,0.39,0.34,10.0,0.055999999999999994,35.0,178.0,0.9974,3.26,0.6,10.2,5
3805,white,8.9,0.24,0.33,15.75,0.035,16.0,132.0,0.996,3.0,0.37,12.1,6
3806,white,6.6,0.23,0.24,3.9,0.045,36.0,138.0,0.9922,3.15,0.64,11.3,7
3807,white,7.1,0.26,0.3,2.0,0.031,13.0,128.0,0.9917,3.19,0.49,11.4,5
3808,white,7.0,0.32,0.35,1.5,0.039,24.0,125.0,0.9918,3.17,0.64,12.2,6
3809,white,7.4,0.24,0.26,1.6,0.057999999999999996,53.0,150.0,0.9936,3.18,0.5,9.9,7
3810,white,6.9,0.21,0.33,1.4,0.055999999999999994,35.0,136.0,0.9938,3.63,0.78,10.3,6
3811,white,7.0,0.32,0.35,1.5,0.039,24.0,125.0,0.9918,3.17,0.64,12.2,6
3812,white,7.4,0.17,0.29,1.4,0.047,23.0,107.0,0.9939,3.52,0.65,10.4,6
3813,white,7.1,0.26,0.3,2.0,0.031,13.0,128.0,0.9917,3.19,0.49,11.4,5
3814,white,8.5,0.28,0.34,13.8,0.040999999999999995,32.0,161.0,0.9981,3.13,0.4,9.9,6
3815,white,7.8,0.3,0.37,1.3,0.051,16.0,96.0,0.9941,3.32,0.62,10.0,5
3816,white,8.1,0.25,0.38,3.8,0.051,18.0,129.0,0.9928,3.21,0.38,11.5,6
3817,white,7.7,0.28,0.29,6.9,0.040999999999999995,29.0,163.0,0.9952,3.44,0.6,10.5,6
3818,white,6.5,0.24,0.36,2.2,0.027000000000000003,36.0,134.0,0.9898,3.28,0.36,12.5,7
3819,white,7.0,0.22,0.32,1.6,0.045,40.0,120.0,0.9914,2.98,0.44,10.5,6
3820,white,8.5,0.28,0.34,13.8,0.040999999999999995,32.0,161.0,0.9981,3.13,0.4,9.9,6
3821,white,8.0,0.45,0.28,10.8,0.051,25.0,157.0,0.9957,3.06,0.47,11.4,7
3822,white,6.9,0.23,0.33,12.8,0.055999999999999994,44.0,169.0,0.998,3.42,0.42,9.8,6
3823,white,8.0,0.45,0.28,10.8,0.051,25.0,157.0,0.9957,3.06,0.47,11.4,7
3824,white,7.6,0.23,0.26,15.3,0.067,32.0,166.0,0.9986,3.03,0.44,9.2,4
3825,white,7.7,0.28,0.58,12.1,0.046,60.0,177.0,0.9983,3.08,0.46,8.9,5
3826,white,7.7,0.27,0.61,12.0,0.046,64.0,179.0,0.9982,3.07,0.46,8.9,5
3827,white,7.1,0.2,0.36,11.6,0.042,45.0,124.0,0.997,2.92,0.59,9.5,7
3828,white,6.9,0.25,0.35,9.2,0.034,42.0,150.0,0.9947,3.21,0.36,11.5,6
3829,white,7.1,0.2,0.36,11.6,0.042,45.0,124.0,0.997,2.92,0.59,9.5,7
3830,white,6.9,0.25,0.35,9.2,0.034,42.0,150.0,0.9947,3.21,0.36,11.5,6
3831,white,8.4,0.2,0.31,2.8,0.054000000000000006,16.0,89.0,0.99416,2.96,0.45,9.5,6
3832,white,6.5,0.39,0.35,1.6,0.049,10.0,164.0,0.99516,3.35,0.51,9.7,5
3833,white,7.2,0.23,0.38,6.1,0.067,20.0,90.0,0.9949600000000001,3.17,0.79,9.7,5
3834,white,6.9,0.44,0.42,8.5,0.048,10.0,147.0,0.9974,3.32,0.46,9.5,6
3835,white,7.1,0.28,0.19,7.8,0.04,48.0,184.0,0.99579,3.16,0.5,9.4,5
3836,white,6.4,0.34,0.2,14.9,0.06,37.0,162.0,0.9983,3.13,0.45,9.0,4
3837,white,6.1,0.15,0.29,6.2,0.046,39.0,151.0,0.99471,3.6,0.44,10.6,6
3838,white,6.9,0.44,0.42,8.5,0.048,10.0,147.0,0.9974,3.32,0.46,9.5,6
3839,white,7.2,0.29,0.18,8.2,0.042,41.0,180.0,0.99644,3.16,0.49,9.1,5
3840,white,7.1,0.28,0.19,7.8,0.04,48.0,184.0,0.99579,3.16,0.5,9.4,5
3841,white,6.1,0.23,0.45,10.6,0.094,49.0,169.0,0.9969899999999999,3.05,0.54,8.8,5
3842,white,6.7,0.23,0.42,11.2,0.047,52.0,171.0,0.9975799999999999,3.54,0.74,10.4,5
3843,white,7.0,0.36,0.14,11.6,0.043,35.0,228.0,0.9977,3.13,0.51,8.9,5
3844,white,7.5,0.31,0.24,7.1,0.031,28.0,141.0,0.99397,3.16,0.38,10.6,7
3845,white,6.4,0.34,0.2,14.9,0.06,37.0,162.0,0.9983,3.13,0.45,9.0,4
3846,white,6.1,0.15,0.29,6.2,0.046,39.0,151.0,0.99471,3.6,0.44,10.6,6
3847,white,7.4,0.2,0.29,1.7,0.047,16.0,100.0,0.9924299999999999,3.28,0.45,10.6,6
3848,white,6.3,0.27,0.18,7.7,0.048,45.0,186.0,0.9962,3.23,0.47,9.0,5
3849,white,9.2,0.34,0.54,17.3,0.06,46.0,235.0,1.0018200000000002,3.08,0.61,8.8,6
3850,white,7.4,0.18,0.29,1.4,0.042,34.0,101.0,0.99384,3.54,0.6,10.5,7
3851,white,7.2,0.29,0.2,7.7,0.046,51.0,174.0,0.99582,3.16,0.52,9.5,5
3852,white,6.3,0.27,0.18,7.7,0.048,45.0,186.0,0.9962,3.23,0.47,9.0,5
3853,white,6.2,0.26,0.19,3.4,0.049,47.0,172.0,0.9924,3.14,0.43,10.4,6
3854,white,7.3,0.21,0.21,1.6,0.046,35.0,133.0,0.99466,3.38,0.46,10.0,6
3855,white,7.1,0.14,0.35,1.4,0.039,24.0,128.0,0.9921200000000001,2.97,0.68,10.4,5
3856,white,7.2,0.39,0.54,1.4,0.157,34.0,132.0,0.99449,3.11,0.53,9.0,6
3857,white,7.6,0.48,0.28,10.4,0.049,57.0,205.0,0.9974799999999999,3.24,0.45,9.3,5
3858,white,7.2,0.39,0.54,1.4,0.157,34.0,132.0,0.99449,3.11,0.53,9.0,6
3859,white,7.6,0.48,0.28,10.4,0.049,57.0,205.0,0.9974799999999999,3.24,0.45,9.3,5
3860,white,6.5,0.36,0.31,4.1,0.061,20.0,134.0,0.99475,3.18,0.45,9.0,6
3861,white,8.5,0.25,0.31,2.8,0.032,11.0,61.0,0.9918899999999999,3.06,0.44,11.5,6
3862,white,6.9,0.3,0.21,15.7,0.055999999999999994,49.0,159.0,0.9982700000000001,3.11,0.48,9.0,5
3863,white,6.6,0.19,0.43,10.9,0.045,53.0,154.0,0.9975200000000001,3.52,0.77,10.4,6
3864,white,6.9,0.3,0.21,15.7,0.055999999999999994,49.0,159.0,0.9982700000000001,3.11,0.48,9.0,5
3865,white,9.4,0.42,0.32,6.5,0.027000000000000003,20.0,167.0,0.99479,3.08,0.43,10.6,5
3866,white,6.6,0.19,0.43,10.9,0.045,53.0,154.0,0.9975200000000001,3.52,0.77,10.4,6
3867,white,6.3,0.2,0.3,5.9,0.034,35.0,152.0,0.9964200000000001,3.47,0.4,8.5,6
3868,white,8.5,0.19,0.56,17.3,0.055,47.0,169.0,1.00047,3.07,0.67,9.3,6
3869,white,7.3,0.19,0.25,1.4,0.051,41.0,107.0,0.99382,3.53,0.66,10.5,7
3870,white,6.7,0.25,0.26,13.5,0.06,50.0,156.0,0.99784,3.39,0.46,9.9,6
3871,white,6.2,0.25,0.28,8.5,0.035,28.0,108.0,0.9948600000000001,3.4,0.42,10.4,6
3872,white,6.1,0.46,0.32,6.2,0.053,10.0,94.0,0.9953700000000001,3.35,0.47,10.1,5
3873,white,7.3,0.19,0.25,1.4,0.051,41.0,107.0,0.99382,3.53,0.66,10.5,7
3874,white,7.5,0.29,0.26,14.95,0.067,47.0,178.0,0.9983799999999999,3.04,0.49,9.2,4
3875,white,6.7,0.31,0.18,7.7,0.043,57.0,200.0,0.99566,3.17,0.44,9.4,6
3876,white,7.4,0.14,0.3,1.3,0.033,25.0,91.0,0.9926799999999999,3.53,0.39,10.6,6
3877,white,6.7,0.31,0.18,7.7,0.043,57.0,200.0,0.99566,3.17,0.44,9.4,6
3878,white,7.1,0.4,0.52,1.3,0.14800000000000002,45.0,149.0,0.9946799999999999,3.08,0.56,8.7,5
3879,white,6.4,0.16,0.25,1.3,0.047,20.0,77.0,0.9933,3.61,0.54,10.2,6
3880,white,6.3,0.16,0.22,1.3,0.046,18.0,66.0,0.9930700000000001,3.61,0.55,10.3,6
3881,white,7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.9990700000000001,3.06,0.68,9.5,5
3882,white,7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.9990700000000001,3.06,0.68,9.5,5
3883,white,7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.9990700000000001,3.06,0.68,9.5,5
3884,white,7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.9990700000000001,3.06,0.68,9.5,5
3885,white,6.6,0.41,0.24,4.9,0.158,47.0,144.0,0.99471,3.17,0.49,9.4,5
3886,white,6.7,0.43,0.23,5.0,0.157,49.0,145.0,0.99471,3.17,0.49,9.4,5
3887,white,7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.9990700000000001,3.06,0.68,9.5,5
3888,white,7.3,0.4,0.28,6.5,0.037000000000000005,26.0,97.0,0.9914799999999999,3.16,0.58,12.6,7
3889,white,7.4,0.18,0.24,1.4,0.047,21.0,106.0,0.9938299999999999,3.52,0.64,10.5,7
3890,white,8.6,0.17,0.28,2.7,0.047,38.0,150.0,0.99365,3.1,0.56,10.8,6
3891,white,6.5,0.32,0.23,1.2,0.054000000000000006,39.0,208.0,0.99272,3.18,0.46,9.9,6
3892,white,7.3,0.4,0.28,6.5,0.037000000000000005,26.0,97.0,0.9914799999999999,3.16,0.58,12.6,7
3893,white,7.0,0.32,0.31,6.4,0.031,38.0,115.0,0.99235,3.38,0.58,12.2,7
3894,white,7.5,0.42,0.19,6.9,0.040999999999999995,62.0,150.0,0.99508,3.23,0.37,10.0,6
3895,white,6.9,0.28,0.31,7.2,0.04,47.0,168.0,0.9946,3.29,0.57,10.6,7
3896,white,6.5,0.29,0.42,10.6,0.042,66.0,202.0,0.99674,3.24,0.53,9.5,6
3897,white,6.3,0.41,0.18,3.5,0.027000000000000003,23.0,109.0,0.99018,3.34,0.54,12.8,8
3898,white,7.0,0.32,0.31,6.4,0.031,38.0,115.0,0.99235,3.38,0.58,12.2,7
3899,white,7.3,0.3,0.33,2.3,0.043,28.0,125.0,0.9908399999999999,3.34,0.44,12.6,7
3900,white,6.6,0.22,0.28,12.05,0.057999999999999996,25.0,125.0,0.99856,3.45,0.45,9.4,5
3901,white,6.0,0.26,0.18,7.0,0.055,50.0,194.0,0.9959100000000001,3.21,0.43,9.0,5
3902,white,6.9,0.44,0.18,11.8,0.051,26.0,126.0,0.9975,3.23,0.48,9.1,5
3903,white,7.5,0.42,0.2,1.4,0.06,15.0,168.0,0.9944,3.06,0.4,9.4,6
3904,white,7.0,0.36,0.3,5.0,0.04,40.0,143.0,0.9917299999999999,3.33,0.42,12.2,7
3905,white,5.6,0.295,0.2,2.2,0.049,18.0,134.0,0.9937799999999999,3.21,0.68,10.0,5
3906,white,6.8,0.21,0.55,14.6,0.053,34.0,159.0,0.99805,2.93,0.44,9.2,5
3907,white,9.4,0.28,0.3,1.6,0.045,36.0,139.0,0.99534,3.11,0.49,9.3,5
3908,white,8.1,0.28,0.34,1.3,0.035,11.0,126.0,0.9923200000000001,3.14,0.5,9.8,6
3909,white,6.8,0.21,0.55,14.6,0.053,34.0,159.0,0.99805,2.93,0.44,9.2,5
3910,white,7.0,0.22,0.26,2.8,0.036000000000000004,44.0,132.0,0.9907799999999999,3.34,0.41,12.0,7
3911,white,9.4,0.28,0.3,1.6,0.045,36.0,139.0,0.99534,3.11,0.49,9.3,5
3912,white,6.8,0.32,0.3,3.3,0.028999999999999998,15.0,80.0,0.99061,3.33,0.63,12.6,7
3913,white,7.0,0.19,0.33,6.3,0.032,42.0,127.0,0.99182,3.31,0.38,12.2,6
3914,white,7.7,0.42,0.38,8.1,0.061,49.0,144.0,0.9966,3.4,0.58,11.0,6
3915,white,7.4,0.2,0.31,1.6,0.038,34.0,116.0,0.9912,3.25,0.39,12.0,7
3916,white,7.5,0.24,0.62,10.6,0.045,51.0,153.0,0.99779,3.16,0.44,8.8,5
3917,white,7.5,0.26,0.59,11.8,0.046,58.0,164.0,0.9981399999999999,3.17,0.46,8.9,4
3918,white,6.6,0.4,0.32,1.7,0.035,39.0,84.0,0.9909600000000001,3.59,0.48,12.7,7
3919,white,8.0,0.2,0.3,8.1,0.037000000000000005,42.0,130.0,0.99379,3.1,0.67,11.8,6
3920,white,4.6,0.445,0.0,1.4,0.053,11.0,178.0,0.99426,3.79,0.55,10.2,5
3921,white,6.1,0.41,0.04,1.3,0.036000000000000004,23.0,121.0,0.9922799999999999,3.24,0.61,9.9,6
3922,white,7.6,0.2,0.34,1.8,0.040999999999999995,42.0,148.0,0.99335,3.35,0.66,11.1,6
3923,white,6.9,0.3,0.21,7.2,0.045,54.0,190.0,0.99595,3.22,0.48,9.4,5
3924,white,7.0,0.35,0.17,1.1,0.049,7.0,119.0,0.99297,3.13,0.36,9.7,6
3925,white,6.9,0.35,0.55,11.95,0.038,22.0,111.0,0.99687,3.11,0.29,9.7,5
3926,white,7.0,0.35,0.17,1.1,0.049,7.0,119.0,0.99297,3.13,0.36,9.7,6
3927,white,6.9,0.35,0.55,11.95,0.038,22.0,111.0,0.99687,3.11,0.29,9.7,5
3928,white,7.6,0.3,0.4,2.2,0.054000000000000006,29.0,175.0,0.99445,3.19,0.53,9.8,5
3929,white,7.5,0.38,0.29,12.7,0.05,25.0,209.0,0.9986,3.25,0.59,9.3,6
3930,white,7.5,0.3,0.32,1.4,0.032,31.0,161.0,0.99154,2.95,0.42,10.5,5
3931,white,6.3,0.4,0.32,10.6,0.049,38.0,209.0,0.9981,3.47,0.59,9.3,6
3932,white,6.8,0.37,0.28,1.9,0.024,64.0,106.0,0.98993,3.45,0.6,12.6,8
3933,white,7.5,0.23,0.35,17.8,0.057999999999999996,128.0,212.0,1.00241,3.44,0.43,8.9,5
3934,white,8.3,0.27,0.34,10.2,0.048,50.0,118.0,0.99716,3.18,0.51,10.3,5
3935,white,6.8,0.26,0.22,4.8,0.040999999999999995,110.0,198.0,0.9943700000000001,3.29,0.67,10.6,5
3936,white,6.5,0.28,0.35,9.8,0.067,61.0,180.0,0.9972,3.15,0.57,9.0,4
3937,white,7.2,0.34,0.3,8.4,0.051,40.0,167.0,0.99756,3.48,0.62,9.7,5
3938,white,7.0,0.23,0.26,7.2,0.040999999999999995,21.0,90.0,0.9950899999999999,3.22,0.55,9.5,6
3939,white,7.7,0.29,0.29,4.8,0.06,27.0,156.0,0.99572,3.49,0.59,10.3,6
3940,white,7.2,0.34,0.3,8.4,0.051,40.0,167.0,0.99756,3.48,0.62,9.7,5
3941,white,7.7,0.4,0.27,4.5,0.034,27.0,95.0,0.99175,3.21,0.59,12.3,8
3942,white,6.7,0.17,0.27,1.4,0.032,39.0,149.0,0.99254,3.4,0.52,10.5,5
3943,white,7.0,0.23,0.26,7.2,0.040999999999999995,21.0,90.0,0.9950899999999999,3.22,0.55,9.5,6
3944,white,8.1,0.24,0.26,11.0,0.043,41.0,211.0,0.9967600000000001,3.11,0.49,10.0,6
3945,white,7.7,0.28,0.63,11.1,0.039,58.0,179.0,0.9979,3.08,0.44,8.8,4
3946,white,7.5,0.23,0.29,2.6,0.031,24.0,98.0,0.9919399999999999,3.0,0.54,10.9,6
3947,white,8.3,0.26,0.31,2.0,0.028999999999999998,14.0,141.0,0.99077,2.95,0.77,12.2,6
3948,white,7.9,0.46,0.4,10.1,0.168,19.0,184.0,0.99782,3.06,0.62,9.5,5
3949,white,7.9,0.31,0.22,13.3,0.048,46.0,212.0,0.9994200000000001,3.47,0.59,10.0,5
3950,white,7.9,0.25,0.34,11.4,0.04,53.0,202.0,0.99708,3.11,0.57,9.6,6
3951,white,6.1,0.28,0.16,1.3,0.06,36.0,126.0,0.9935299999999999,3.13,0.46,8.7,6
3952,white,7.0,0.18,0.26,1.4,0.044000000000000004,46.0,89.0,0.99256,3.39,0.48,10.7,7
3953,white,6.5,0.21,0.28,1.4,0.046,26.0,66.0,0.9919899999999999,3.43,0.48,11.1,6
3954,white,7.6,0.48,0.33,7.0,0.024,14.0,130.0,0.9918,3.25,0.45,12.5,7
3955,white,7.1,0.34,0.32,2.0,0.051,29.0,130.0,0.99354,3.3,0.5,10.4,6
3956,white,8.9,0.21,0.37,1.2,0.027999999999999997,20.0,93.0,0.99244,3.2,0.37,11.5,5
3957,white,7.4,0.32,0.27,12.9,0.04,60.0,221.0,0.99831,3.05,0.66,9.4,5
3958,white,6.0,0.495,0.27,5.0,0.157,17.0,129.0,0.9939600000000001,3.03,0.36,9.3,5
3959,white,8.1,0.25,0.34,10.1,0.05,30.0,121.0,0.99724,3.17,0.49,10.1,6
3960,white,8.2,0.25,0.46,3.75,0.05,14.0,102.0,0.99524,3.28,0.58,9.7,5
3961,white,6.5,0.18,0.29,1.7,0.035,39.0,144.0,0.9927,3.49,0.5,10.5,6
3962,white,6.7,0.24,0.26,12.6,0.053,44.0,182.0,0.99802,3.42,0.42,9.7,5
3963,white,6.6,0.32,0.24,1.3,0.06,42.5,204.0,0.9951200000000001,3.59,0.51,9.2,5
3964,white,7.6,0.32,0.35,1.6,0.092,24.0,138.0,0.9943799999999999,3.19,0.44,9.8,5
3965,white,7.4,0.33,0.44,7.6,0.05,40.0,227.0,0.99679,3.12,0.52,9.0,5
3966,white,7.2,0.3,0.3,8.1,0.05,40.0,188.0,0.9965200000000001,3.15,0.49,9.1,6
3967,white,7.4,0.34,0.3,14.9,0.037000000000000005,70.0,169.0,0.99698,3.25,0.37,10.4,6
3968,white,6.1,0.16,0.29,6.0,0.03,29.0,144.0,0.99474,3.68,0.46,10.7,6
3969,white,6.3,0.1,0.24,6.0,0.039,25.0,107.0,0.99511,3.59,0.49,10.5,7
3970,white,6.2,0.45,0.73,7.2,0.099,47.0,202.0,0.99582,3.21,0.43,9.2,5
3971,white,6.0,0.33,0.18,3.0,0.036000000000000004,5.0,85.0,0.99125,3.28,0.4,11.5,4
3972,white,7.6,0.48,0.37,1.2,0.034,5.0,57.0,0.99256,3.05,0.54,10.4,3
3973,white,7.2,0.2,0.3,2.0,0.039,43.0,188.0,0.9911,3.3,0.41,12.0,6
3974,white,7.0,0.32,0.29,4.9,0.036000000000000004,41.0,150.0,0.9916799999999999,3.38,0.43,12.2,6
3975,white,7.2,0.2,0.3,2.0,0.039,43.0,188.0,0.9911,3.3,0.41,12.0,6
3976,white,7.0,0.22,0.29,8.9,0.05,24.0,90.0,0.99556,3.29,0.46,9.8,6
